ICORG,CISLOFA,ICDOD,DODAVATEL,UCELPLATBY,CASTKA,DATVYST,DATSPLAT,PLOZKA,UCETNIID,POZN
66003008,30044988,60193913,"Pražská energetika,a.s.","vyúčtování energie Libáňská 2334/2 byt,přízemí",96,2015-07-24,2016-11-29,5154,FD1501869,
66003008,2000200101,49454641,ČAD Blansko a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 1-9/2015,68449,2015-10-13,2016-01-15,5192,FD1502672,
66003008,2150000756,1528475,"StiBus, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 9/2015,6436,2015-09-30,2016-01-15,5192,FD1502717,
66003008,2015065,12771180,Josef Hemelík,Kompenzace slev z jízdného ve veřejné osobní dopravě za 7-9/2015,31863,2015-10-10,2016-01-15,5192,FD1502767,
66003008,2150000805,1528475,"StiBus, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 10/2015,7484,2015-10-30,2016-01-15,5192,FD1502994,
66003008,1112015,27174140,"Utilis, s.r.o.",překlad,21900,2015-11-19,2016-01-20,5169,FD1503206,
66003008,3320006245,60193336,O2 Czech Republic a.s.,DOBROPIS K FD 1502974 - měsíční poplatky ČR,-13881.12,2015-11-27,2016-04-21,2324,FD1503207,
66003008,3320006245,60193336,O2 Czech Republic a.s.,DOBROPIS K FD 1502974 - měsíční poplatky ČR,0,2015-11-27,2016-04-21,2391,FD1503207,
66003008,522015,28500580,GASTINVEST a.s.,pracovní oběd,2305,2015-12-05,2016-01-18,5175,FD1503410,
66003008,2150000869,1528475,"StiBus, s.r.o.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2015,8528,2015-11-30,2016-01-15,5192,FD1503428,
66003008,7251501613,27074358,"Asseco Central Europe,a.s.",podpora a upgrade informačního systému ADR za 11/2015,36300,2015-12-09,2016-01-28,5168,FD1503456,
66003008,9508316,11213175,RNDr. Ivana Hexnerová - BOVA  POLYGON,Seminář - Ing. Adolf Prokůpek,2590,2015-12-15,2016-01-11,5167,FD1503615,
66003008,1500000103,25094670,Tempest Czech s.r.o.,uživatelské a aplikační podpory eTesty za 11/2015,26593.40,2015-12-15,2016-01-28,5168,FD1503619,
66003008,1500000102,25094670,Tempest Czech s.r.o.,uživatelské a aplikační podpory eTesty za 11/2015,27802.20,2015-12-15,2016-01-28,5168,FD1503620,
66003008,151295259,24206741,GTH catering a.s.,Cateringové služby na akce dne 3.12.2015,1428,2015-12-18,2016-01-12,5175,FD1503643,
66003008,151295263,24206741,GTH catering a.s.,cateringové služby na akce dne 9.12.2015,298,2015-12-18,2016-01-29,5175,FD1503647,
66003008,12100182,60071397,COMETT PLUS spol. s r.o.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2015,35409,2015-12-18,2016-01-15,5192,FD1503682,
66003008,2000200132,49454641,ČAD Blansko a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 10-11/2015,4005,2015-12-21,2016-01-15,5192,FD1503694,
66003008,1001503286,48364282,Dopravní podnik  Karlovy Vary a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2015,194275.20,2015-12-08,2016-01-15,5192,FD1503698,
66003008,310152073,25434471,CardHouse s.r.o.,tiskárna s příslušenstvím,115042,2015-12-23,2016-02-02,6122,FD1503700,
66003008,310152073,25434471,CardHouse s.r.o.,tiskárna s příslušenstvím,5250.15,2015-12-23,2016-02-02,5139,FD1503700,
66003008,150100041,29321824,Mathesio s.r.o.,podpora a rozvoj informačního systému CRD,442956,2015-12-14,2016-02-09,5168,FD1503701,
66003008,150100041,29321824,Mathesio s.r.o.,podpora a rozvoj informačního systému CRD,247033.80,2015-12-14,2016-02-09,6111,FD1503701,
66003008,7101500577,48533076,Tourbus a.s.,Kompenzace slev z jízdného ve veřejné osobní dopravě za 11/2015,215238.50,2015-12-15,2016-01-15,5192,FD1503702,
66003008,201512001,2124670,"Mgr. Milada Bobková, Ph.D.",překlad,2048,2015-12-18,2016-01-21,5169,FD1503703,
66003008,3215,46767452,JAN CHROSTEK,Jazyková výuka za 12/2015,6600,2015-12-22,2016-01-25,5167,FD1503704,
66003008,1512009,26685043,"HYBERNIA PRAHA, spol.s.r.o.",občerstvení,2621,2015-12-09,2016-01-13,5175,FD1503705,
66003008,2151915,41186176,LENIA spol. s r.o.,Kontrola EPS,4152.72,2015-12-21,2016-01-11,5169,FD1503706,
66003008,5136197866,47114983,"Česká pošta, s.p.",kvalifikovaný osobní certifikát - zam.,1682.85,2015-12-28,2016-01-14,5169,FD1503710,
66003008,17615,26767333,Interlingua Servis s.r.o.,překlad dokumentu,698.80,2015-12-29,2016-01-13,5169,FD1503711,
66003008,332015,88895424,Vojtěch Sadílek,Kompenzace slev z jízdného ve veřejné osobní dopravě za 9-11/2015,30680,2015-12-30,2016-01-29,5192,FD1503712,
66003008,9803322068,49356089,"AVE CZ odpadové hospodářství, s.r.o.",odvoz odpadu za 12/2015,25711,2015-12-31,2016-01-29,5169,FD1503713,
66003008,2015104133,25635603,WESTPOINT a.s.,obsluha ústředny za 12/2015,29882,2015-12-31,2016-01-22,5169,FD1503714,
66003008,2015104132,25635603,WESTPOINT a.s.,"za strážní, recepční a ochranná služba za 12/2015",567629,2015-12-31,2016-01-22,5169,FD1503715,
66003008,20152096,27309126,"Quick Bus, a.s.",Kompenzace slev z jízdného ve veřejné osobní dopravě za 12/2015,101428,2015-12-31,2016-02-05,5192,FD1503717,
66003008,1601,62779141,Ing.Vít Janoš,poradenská činnost za 5-12/2015,128000,2015-12-31,2016-01-25,5166,FD1503718,
66003008,122015,74852973,Jihlová Danuše,Poskytování služeb v oblasti administrativní správy za 12/2015,28800,2015-12-29,2016-01-11,5169,FD1503720,
66003008,15121925,45786259,NESS Czech s.r.o.,Uveřejnění formuláře v elektronické podobě,254.10,2015-12-30,2016-01-13,5161,FD1503721,
66003008,15122003,45786259,NESS Czech s.r.o.,Uveřejnění formuláře v elektronické podobě,254.10,2015-12-31,2016-01-14,5161,FD1503722,
66003008,21500525,25212079,Marbes consulting s.r.o.,Podpora systému HelpDesk za 10-12/2015,9075,2015-12-31,2016-01-25,5168,FD1503723,
66003008,1655009815,64949681,T-Mobile Czech Republic a.s.,telekomunikační služby za 12/2015,68536.44,2015-12-31,2016-02-03,5162,FD1503724,
66003008,9803322219,49356089,"AVE CZ odpadové hospodářství, s.r.o.",odstranění odpadu VOK za 12/2015,3775,2015-12-30,2016-01-29,5169,FD1503726,
66003008,1012135,15890155,"SIMOPT, s.r.o.",zajištění webhostingu pro stránky www.besip.cz,5000,2015-12-31,2016-01-25,5168,FD1503727,
66003008,1860012391,62913671,Le Cheque Déjeuner s.r.o.,jídelní kupony,76361.25,2015-12-28,2016-01-18,5169,FD1503728,
66003008,2016002,311391,"CENDIS, s.p.",Příprava implementace Zákona o kybernetické bezpečnosti a operativní podpora bezpečnosti provozu ICT,59290,2015-12-31,2016-02-04,5168,FD1503729,
66003008,2016001,311391,"CENDIS, s.p.",projektové řízení ICT projektů MD za 12/2015,40232.50,2015-12-31,2016-02-04,5168,FD1503730,
66003008,131541239,28510011,"Komtern Čechy, s.r.o.",opravy technologického zařízení plynové kotelny za 12/2015,5833,2015-12-31,2016-02-03,5171,FD1503731,
66003008,131541226,28510011,"Komtern Čechy, s.r.o.",opravy technologického zařízení plynové kotelny za 12/2015,13082.52,2015-12-31,2016-02-03,5169,FD1503732,
66003008,401259,62581341,"DIGNITA, s.r.o.",údržba SW podatelna za 12/2015,6050,2015-12-31,2016-01-20,5168,FD1503733,
66003008,201510399,27596494,"Marking Center CZ, a.s.","štočky, digitální vizitky, polštářek",11350,2015-12-30,2016-01-25,5139,FD1503734,
66003008,90055412,25145444,ICZ a.s.,zabezpečení provozu IS pro vedení CCŘ za 12/2015,2506576,2015-12-31,2016-02-05,5168,FD1503735,
66003008,90055411,25145444,ICZ a.s.,Služby zvýšeného technického a bezpečnostního dohledu pro kopii CRŘ ...za 12/2015,416216,2015-12-31,2016-02-01,5168,FD1503736,
66003008,2600028,1279,"Státní tiskárna cenin, s.p.",řidičský průkaz 2015,2379077.32,2015-12-31,2016-01-29,5139,FD1503739,
66003008,2600040,1279,"Státní tiskárna cenin, s.p.",řidičský průkaz 2015 - BLESK,298734.48,2015-12-31,2016-01-29,5139,FD1503740,
66003008,2600041,1279,"Státní tiskárna cenin, s.p.",průkaz PPZŘ,658.24,2015-12-31,2016-01-26,5139,FD1503741,
66003008,2151120840,64948251,ALTRON a.s.,servisní pgm. SILVER_MG za 10-12/2015,120092.50,2015-12-31,2016-02-05,5169,FD1503743,
66003008,8023871016,25458302,"CENTROPOL ENERGY,a.s.",vyúčtování el. energie za 12/2015 - FDZ 1500019,45871.62,2015-12-31,2016-02-05,5154,FD1503745,
66003008,1728409815,64949681,T-Mobile Czech Republic a.s.,přípojka internet za 12/2015,8228,2015-12-31,2016-02-03,5162,FD1503746,
66003008,2015106856,60193336,O2 Czech Republic a.s.,telekomunikační služby za 12/2015,44521.95,2015-12-31,2016-01-29,5162,FD1503748,
